name,club,position,age,goals,assists,transfer_value,log_transfer_value
John McGinn,Aston Villa,Midfield,31,0,0,13000000.0,16.380459992348886
Amadou Onana,Aston Villa,Midfield,25,0,0,45000000.0,17.622173069956816
Lamare Bogarde,Aston Villa,Midfield,22,0,0,18000000.0,16.705882371415992
Alysson,Aston Villa,Offence,20,0,0,10000000.0,16.118095750958314
Gabriel Slonina,Chelsea,Goalkeeper,22,0,0,3000000.0,14.914123179965662
Teddy Sharman-Lowe,Chelsea,Goalkeeper,23,0,0,500000.0,13.122365377402328
Wesley Fofana,Chelsea,Defence,25,0,0,28000000.0,17.147715103853763
Reece James,Chelsea,Defence,26,0,0,60000000.0,17.909855136853043
Malo Gusto,Chelsea,Defence,23,0,0,35000000.0,17.370858648025116
Levi Colwill,Chelsea,Defence,23,0,0,50000000.0,17.72753358339242
Jorrel Hato,Chelsea,Defence,20,0,0,40000000.0,17.50439003707821
Josh Acheampong,Chelsea,Defence,20,0,0,25000000.0,17.034386422832473
Moisés Caicedo,Chelsea,Midfield,24,0,0,100000000.0,18.420680753952364
Cole Palmer,Chelsea,Midfield,24,2,1,100000000.0,18.420680753952364
Romeo Lavia,Chelsea,Midfield,22,1,0,22000000.0,16.906553056777135
Pedro Neto,Chelsea,Offence,26,1,0,60000000.0,17.909855136853043
João Pedro,Chelsea,Offence,24,2,2,80000000.0,18.197537205138154
Estevao,Chelsea,Offence,19,0,0,80000000.0,18.197537205138154
Jordan Pickford,Everton,Goalkeeper,32,0,0,13000000.0,16.380459992348886
Mark Travers,Everton,Goalkeeper,27,0,0,3000000.0,14.914123179965662
James Tarkowski,Everton,Defence,33,1,0,5000000.0,15.424948670398354
Michael Keane,Everton,Defence,33,0,0,3000000.0,14.914123179965662
Jarrad Branthwaite,Everton,Defence,24,0,0,40000000.0,17.50439003707821
Jake O'Brien,Everton,Defence,25,0,0,18000000.0,16.705882371415992
James Garner,Everton,Midfield,25,0,0,45000000.0,17.622173069956816
Kiernan Dewsbury Hall,Everton,Midfield,27,1,0,35000000.0,17.370858648025116
Carlos Alcaraz,Everton,Midfield,23,0,0,15000000.0,16.52356082573315
Merlin Röhl,Everton,Midfield,24,0,0,16000000.0,16.588099342704055
